#Reads: 46593
Min: 1
Max: 168
#Read Length Histogram:
Len  Reads  %Reads
1    48     0.103%
2    51     0.109%
3    40     0.086%
4    10     0.021%
5    58     0.124%
6    9      0.019%
7    5      0.011%
8    10     0.021%
9    8      0.017%
10   16     0.034%
11   23     0.049%
12   48     0.103%
13   16     0.034%
14   23     0.049%
15   161    0.346%
16   15     0.032%
17   4      0.009%
18   22     0.047%
19   48     0.103%
20   3      0.006%
21   38     0.082%
22   11     0.024%
23   2      0.004%
24   3      0.006%
25   3      0.006%
26   28     0.060%
27   2      0.004%
28   6      0.013%
29   192    0.412%
30   41     0.088%
31   42     0.090%
32   8      0.017%
33   85     0.182%
34   10     0.021%
35   131    0.281%
36   9      0.019%
37   23     0.049%
38   18     0.039%
39   4      0.009%
40   51     0.109%
41   24     0.052%
42   13     0.028%
43   43     0.092%
44   43     0.092%
45   33     0.071%
46   73     0.157%
47   14     0.030%
48   24     0.052%
49   34     0.073%
50   44     0.094%
51   16     0.034%
52   46     0.099%
53   34     0.073%
54   24     0.052%
55   24     0.052%
56   35     0.075%
57   4      0.009%
58   38     0.082%
59   28     0.060%
60   13     0.028%
62   4      0.009%
63   1      0.002%
64   1      0.002%
65   1      0.002%
66   204    0.438%
67   19     0.041%
69   50     0.107%
70   3      0.006%
71   11     0.024%
72   51     0.109%
73   17     0.036%
74   22     0.047%
75   69     0.148%
76   20     0.043%
77   4      0.009%
78   3      0.006%
79   2      0.004%
80   21     0.045%
81   2      0.004%
82   2      0.004%
83   2      0.004%
84   65     0.140%
85   7      0.015%
86   46     0.099%
87   51     0.109%
88   34     0.073%
89   10     0.021%
90   52     0.112%
91   25     0.054%
92   19     0.041%
93   5      0.011%
94   2      0.004%
95   30     0.064%
96   933    2.002%
97   27939  59.964%
98   1197   2.569%
99   13210  28.352%
100  498    1.069%
101  11     0.024%
102  1      0.002%
106  1      0.002%
108  2      0.004%
110  1      0.002%
113  1      0.002%
114  1      0.002%
115  1      0.002%
118  1      0.002%
121  1      0.002%
123  1      0.002%
131  1      0.002%
137  1      0.002%
147  1      0.002%
159  1      0.002%
168  3      0.006%
