#Reads: 55556
Min: 1
Max: 168
#Read Length Histogram:
Len  Reads  %Reads
1    21     0.038%
2    81     0.146%
3    49     0.088%
4    12     0.022%
5    103    0.185%
6    16     0.029%
7    10     0.018%
8    15     0.027%
9    11     0.020%
10   26     0.047%
11   38     0.068%
12   43     0.077%
13   24     0.043%
14   26     0.047%
15   135    0.243%
16   6      0.011%
17   13     0.023%
18   35     0.063%
19   56     0.101%
20   3      0.005%
21   51     0.092%
22   23     0.041%
23   6      0.011%
24   3      0.005%
25   1      0.002%
26   18     0.032%
27   4      0.007%
28   7      0.013%
29   266    0.479%
30   51     0.092%
31   65     0.117%
32   15     0.027%
33   102    0.184%
34   15     0.027%
35   151    0.272%
36   24     0.043%
37   40     0.072%
38   21     0.038%
39   15     0.027%
40   58     0.104%
41   15     0.027%
42   21     0.038%
43   61     0.110%
44   60     0.108%
45   58     0.104%
46   87     0.157%
47   17     0.031%
48   29     0.052%
49   41     0.074%
50   37     0.067%
51   22     0.040%
52   39     0.070%
53   56     0.101%
54   31     0.056%
55   30     0.054%
56   44     0.079%
57   12     0.022%
58   59     0.106%
59   31     0.056%
60   16     0.029%
62   3      0.005%
63   2      0.004%
64   6      0.011%
65   10     0.018%
66   290    0.522%
67   16     0.029%
68   1      0.002%
69   51     0.092%
70   3      0.005%
71   7      0.013%
72   54     0.097%
73   28     0.050%
74   21     0.038%
75   77     0.139%
76   16     0.029%
77   8      0.014%
79   1      0.002%
80   11     0.020%
81   4      0.007%
82   4      0.007%
83   4      0.007%
84   24     0.043%
85   4      0.007%
86   42     0.076%
87   73     0.131%
88   48     0.086%
89   11     0.020%
90   39     0.070%
91   21     0.038%
92   9      0.016%
93   3      0.005%
94   13     0.023%
95   105    0.189%
96   1709   3.076%
97   30561  55.009%
98   2262   4.072%
99   16564  29.815%
100  969    1.744%
101  33     0.059%
102  2      0.004%
103  1      0.002%
104  1      0.002%
105  2      0.004%
108  1      0.002%
109  1      0.002%
112  1      0.002%
115  1      0.002%
123  1      0.002%
139  1      0.002%
143  2      0.004%
148  1      0.002%
149  1      0.002%
152  1      0.002%
155  1      0.002%
163  2      0.004%
166  2      0.004%
168  2      0.004%
