#Reads: 55576
Min: 6
Max: 505
#Read Length Histogram:
Len  Reads  %Reads
6    1      0.002%
11   12     0.022%
18   1      0.002%
24   1      0.002%
26   1      0.002%
34   1      0.002%
45   1      0.002%
47   1      0.002%
48   1      0.002%
53   2      0.004%
55   1      0.002%
56   1      0.002%
57   1      0.002%
59   4      0.007%
60   1      0.002%
63   1      0.002%
65   1      0.002%
66   2      0.004%
70   1      0.002%
71   2      0.004%
73   1      0.002%
74   1      0.002%
75   1      0.002%
77   1      0.002%
84   1      0.002%
87   2      0.004%
93   11     0.020%
94   22     0.040%
95   49     0.088%
96   7      0.013%
97   8      0.014%
98   13     0.023%
99   17     0.031%
100  14     0.025%
101  42     0.076%
102  14     0.025%
103  12     0.022%
104  18     0.032%
105  22     0.040%
106  53     0.095%
107  64     0.115%
108  14     0.025%
109  14     0.025%
110  8      0.014%
111  10     0.018%
112  10     0.018%
113  17     0.031%
114  3      0.005%
115  13     0.023%
116  7      0.013%
117  2      0.004%
118  2      0.004%
119  2      0.004%
120  2      0.004%
121  9      0.016%
122  12     0.022%
123  1      0.002%
124  5      0.009%
125  10     0.018%
126  3      0.005%
127  4      0.007%
128  5      0.009%
129  7      0.013%
130  4      0.007%
131  2      0.004%
132  1      0.002%
133  11     0.020%
134  14     0.025%
135  3      0.005%
136  5      0.009%
137  19     0.034%
139  2      0.004%
142  1      0.002%
144  2      0.004%
146  2      0.004%
147  5      0.009%
148  10     0.018%
149  16     0.029%
150  2      0.004%
151  1      0.002%
152  1      0.002%
153  1      0.002%
154  1      0.002%
165  2      0.004%
167  1      0.002%
168  1      0.002%
170  1      0.002%
171  1      0.002%
172  1      0.002%
175  1      0.002%
176  1      0.002%
181  1      0.002%
185  1      0.002%
194  5      0.009%
204  1      0.002%
209  1      0.002%
220  1      0.002%
224  1      0.002%
225  1      0.002%
229  2      0.004%
240  1      0.002%
241  1      0.002%
248  1      0.002%
257  1      0.002%
258  2      0.004%
259  8      0.014%
260  22     0.040%
261  1      0.002%
262  1      0.002%
265  1      0.002%
267  1      0.002%
270  1      0.002%
271  1      0.002%
273  1      0.002%
274  1      0.002%
276  1      0.002%
277  2      0.004%
278  8      0.014%
281  1      0.002%
284  1      0.002%
285  1      0.002%
286  2      0.004%
287  3      0.005%
288  2      0.004%
289  6      0.011%
290  13     0.023%
291  20     0.036%
292  57     0.103%
293  127    0.229%
294  287    0.516%
295  885    1.592%
296  1910   3.437%
297  3880   6.981%
298  14465  26.027%
299  31335  56.382%
300  545    0.981%
301  540    0.972%
302  557    1.002%
303  18     0.032%
304  16     0.029%
305  10     0.018%
306  2      0.004%
310  2      0.004%
315  2      0.004%
317  1      0.002%
320  1      0.002%
323  1      0.002%
330  1      0.002%
332  2      0.004%
349  1      0.002%
377  1      0.002%
393  1      0.002%
412  1      0.002%
419  1      0.002%
423  1      0.002%
424  1      0.002%
432  1      0.002%
441  2      0.004%
446  1      0.002%
450  1      0.002%
451  1      0.002%
452  1      0.002%
454  1      0.002%
455  1      0.002%
456  1      0.002%
457  2      0.004%
458  2      0.004%
459  2      0.004%
460  1      0.002%
461  3      0.005%
463  4      0.007%
465  1      0.002%
468  1      0.002%
471  1      0.002%
472  1      0.002%
473  1      0.002%
475  1      0.002%
476  3      0.005%
477  2      0.004%
479  5      0.009%
482  1      0.002%
483  2      0.004%
485  2      0.004%
486  2      0.004%
487  2      0.004%
488  2      0.004%
489  4      0.007%
490  1      0.002%
492  4      0.007%
493  2      0.004%
494  4      0.007%
495  5      0.009%
496  3      0.005%
497  3      0.005%
498  5      0.009%
499  8      0.014%
500  7      0.013%
501  2      0.004%
502  5      0.009%
503  4      0.007%
504  7      0.013%
505  10     0.018%
