#Reads: 46605
Min: 3
Max: 506
#Read Length Histogram:
Len  Reads  %Reads
3    1      0.002%
4    1      0.002%
11   34     0.073%
18   1      0.002%
20   1      0.002%
24   2      0.004%
26   1      0.002%
36   1      0.002%
43   1      0.002%
45   1      0.002%
48   3      0.006%
49   6      0.013%
53   1      0.002%
54   1      0.002%
55   3      0.006%
56   2      0.004%
57   1      0.002%
58   2      0.004%
60   2      0.004%
61   1      0.002%
62   2      0.004%
66   1      0.002%
68   1      0.002%
71   1      0.002%
73   1      0.002%
76   1      0.002%
77   1      0.002%
78   1      0.002%
79   2      0.004%
83   2      0.004%
84   1      0.002%
89   2      0.004%
90   1      0.002%
92   2      0.004%
93   5      0.011%
94   19     0.041%
95   34     0.073%
96   5      0.011%
97   4      0.009%
98   6      0.013%
99   10     0.021%
100  7      0.015%
101  17     0.036%
102  9      0.019%
103  4      0.009%
104  8      0.017%
105  13     0.028%
106  41     0.088%
107  52     0.112%
108  10     0.021%
109  4      0.009%
110  9      0.019%
111  1      0.002%
112  6      0.013%
113  21     0.045%
114  1      0.002%
115  2      0.004%
116  7      0.015%
117  1      0.002%
119  1      0.002%
120  2      0.004%
121  7      0.015%
122  15     0.032%
123  2      0.004%
124  2      0.004%
125  4      0.009%
127  2      0.004%
128  6      0.013%
129  4      0.009%
131  3      0.006%
133  1      0.002%
134  7      0.015%
135  1      0.002%
136  2      0.004%
137  13     0.028%
139  1      0.002%
142  1      0.002%
144  3      0.006%
145  3      0.006%
146  1      0.002%
147  1      0.002%
148  5      0.011%
149  11     0.024%
150  1      0.002%
151  2      0.004%
152  2      0.004%
165  1      0.002%
168  1      0.002%
172  1      0.002%
185  2      0.004%
193  1      0.002%
194  4      0.009%
202  1      0.002%
221  1      0.002%
223  1      0.002%
225  1      0.002%
256  2      0.004%
257  1      0.002%
258  3      0.006%
259  30     0.064%
260  63     0.135%
262  1      0.002%
263  2      0.004%
268  1      0.002%
272  1      0.002%
273  1      0.002%
274  1      0.002%
275  3      0.006%
276  1      0.002%
277  8      0.017%
278  15     0.032%
279  1      0.002%
281  2      0.004%
282  2      0.004%
283  1      0.002%
284  3      0.006%
285  1      0.002%
286  2      0.004%
287  3      0.006%
288  1      0.002%
289  2      0.004%
290  3      0.006%
291  2      0.004%
292  15     0.032%
293  34     0.073%
294  102    0.219%
295  406    0.871%
296  1069   2.294%
297  2910   6.244%
298  11713  25.132%
299  28720  61.624%
300  287    0.616%
301  278    0.597%
302  275    0.590%
303  9      0.019%
304  3      0.006%
305  1      0.002%
307  1      0.002%
311  1      0.002%
312  2      0.004%
313  1      0.002%
315  1      0.002%
320  2      0.004%
321  1      0.002%
322  1      0.002%
324  1      0.002%
327  1      0.002%
331  1      0.002%
343  1      0.002%
346  1      0.002%
354  1      0.002%
356  1      0.002%
401  1      0.002%
414  1      0.002%
416  1      0.002%
422  1      0.002%
431  2      0.004%
435  2      0.004%
442  1      0.002%
443  1      0.002%
446  1      0.002%
450  1      0.002%
451  1      0.002%
452  1      0.002%
455  1      0.002%
458  1      0.002%
462  1      0.002%
463  3      0.006%
465  1      0.002%
468  1      0.002%
469  1      0.002%
470  2      0.004%
471  2      0.004%
473  1      0.002%
474  2      0.004%
476  1      0.002%
478  2      0.004%
480  1      0.002%
482  2      0.004%
483  1      0.002%
486  1      0.002%
487  1      0.002%
488  3      0.006%
489  1      0.002%
490  6      0.013%
491  2      0.004%
492  2      0.004%
493  6      0.013%
494  1      0.002%
495  4      0.009%
496  6      0.013%
497  6      0.013%
498  4      0.009%
499  4      0.009%
500  2      0.004%
501  4      0.009%
502  4      0.009%
503  5      0.011%
504  6      0.013%
505  6      0.013%
506  1      0.002%
