#Reads: 600130
Min: 1
Max: 120
#Read Length Histogram:
Len  Reads  %Reads
1    9010    1.501%
2    31388   5.230%
3    158727  26.449%
4    30163   5.026%
5    208945  34.817%
6    15477   2.579%
7    6383    1.064%
8    38195   6.364%
9    31034   5.171%
10   15053   2.508%
11   11362   1.893%
12   8656    1.442%
13   5011    0.835%
14   3783    0.630%
15   3269    0.545%
16   2167    0.361%
17   2287    0.381%
18   1356    0.226%
19   1597    0.266%
20   1041    0.173%
21   1147    0.191%
22   2843    0.474%
23   1848    0.308%
24   1114    0.186%
25   642     0.107%
26   1269    0.211%
27   411     0.068%
28   440     0.073%
29   478     0.080%
30   522     0.087%
31   481     0.080%
32   546     0.091%
33   281     0.047%
34   325     0.054%
35   273     0.045%
36   225     0.037%
37   175     0.029%
38   176     0.029%
39   164     0.027%
40   153     0.025%
41   120     0.020%
42   115     0.019%
43   154     0.026%
44   173     0.029%
45   144     0.024%
46   97      0.016%
47   66      0.011%
48   45      0.007%
49   50      0.008%
50   58      0.010%
51   38      0.006%
52   29      0.005%
53   27      0.004%
54   38      0.006%
55   20      0.003%
56   26      0.004%
57   27      0.004%
58   16      0.003%
59   16      0.003%
60   22      0.004%
61   13      0.002%
62   14      0.002%
63   12      0.002%
64   13      0.002%
65   18      0.003%
66   16      0.003%
67   4       0.001%
68   13      0.002%
69   7       0.001%
70   11      0.002%
71   9       0.001%
72   10      0.002%
73   8       0.001%
74   7       0.001%
75   8       0.001%
76   4       0.001%
77   8       0.001%
78   12      0.002%
79   9       0.001%
80   7       0.001%
81   5       0.001%
82   5       0.001%
83   7       0.001%
84   5       0.001%
85   44      0.007%
86   4       0.001%
87   5       0.001%
88   3       0.000%
89   5       0.001%
90   6       0.001%
91   10      0.002%
92   6       0.001%
93   6       0.001%
94   1       0.000%
95   9       0.001%
96   5       0.001%
97   13      0.002%
98   17      0.003%
99   6       0.001%
100  15      0.002%
101  7       0.001%
102  19      0.003%
104  4       0.001%
105  5       0.001%
106  5       0.001%
107  2       0.000%
112  1       0.000%
113  2       0.000%
114  1       0.000%
115  2       0.000%
116  1       0.000%
118  2       0.000%
120  1       0.000%
