#Reads: 230528
Min: 3
Max: 388
#Read Length Histogram:
Len  Reads  %Reads
3    1165   0.505%
4    78     0.034%
5    1074   0.466%
6    112    0.049%
7    272    0.118%
8    7035   3.052%
9    24918  10.809%
10   1015   0.440%
11   31066  13.476%
12   2131   0.924%
13   354    0.154%
14   2874   1.247%
15   2122   0.920%
16   42769  18.553%
17   6748   2.927%
18   1613   0.700%
19   2323   1.008%
20   1891   0.820%
21   313    0.136%
22   486    0.211%
23   630    0.273%
24   3872   1.680%
25   11391  4.941%
26   2728   1.183%
27   777    0.337%
28   12323  5.346%
29   4581   1.987%
30   395    0.171%
31   4215   1.828%
32   3757   1.630%
33   376    0.163%
34   4207   1.825%
35   6943   3.012%
36   337    0.146%
37   2916   1.265%
38   2483   1.077%
39   367    0.159%
40   7891   3.423%
41   2269   0.984%
42   257    0.111%
43   2402   1.042%
44   1615   0.701%
45   320    0.139%
46   3361   1.458%
47   1353   0.587%
48   143    0.062%
49   1363   0.591%
50   1073   0.465%
51   146    0.063%
52   1526   0.662%
53   605    0.262%
54   138    0.060%
55   685    0.297%
56   425    0.184%
57   81     0.035%
58   586    0.254%
59   247    0.107%
60   117    0.051%
61   2106   0.914%
62   241    0.105%
63   32     0.014%
64   340    0.147%
65   435    0.189%
66   42     0.018%
67   275    0.119%
68   243    0.105%
69   61     0.026%
70   831    0.360%
71   1363   0.591%
72   77     0.033%
73   1500   0.651%
74   286    0.124%
75   28     0.012%
76   225    0.098%
77   58     0.025%
78   30     0.013%
79   271    0.118%
80   77     0.033%
81   40     0.017%
82   114    0.049%
83   32     0.014%
84   71     0.031%
85   15     0.007%
86   30     0.013%
87   18     0.008%
88   43     0.019%
89   60     0.026%
90   18     0.008%
91   110    0.048%
92   24     0.010%
93   5      0.002%
94   55     0.024%
95   29     0.013%
96   12     0.005%
97   105    0.046%
98   47     0.020%
99   8      0.003%
100  38     0.016%
101  23     0.010%
102  24     0.010%
103  31     0.013%
104  21     0.009%
105  5      0.002%
106  58     0.025%
107  19     0.008%
108  13     0.006%
109  17     0.007%
110  17     0.007%
111  10     0.004%
112  38     0.016%
113  10     0.004%
114  3      0.001%
115  10     0.004%
116  13     0.006%
117  6      0.003%
118  10     0.004%
119  11     0.005%
120  6      0.003%
121  17     0.007%
122  14     0.006%
123  7      0.003%
124  30     0.013%
125  7      0.003%
126  6      0.003%
127  6      0.003%
128  13     0.006%
129  2      0.001%
130  9      0.004%
131  7      0.003%
132  7      0.003%
133  8      0.003%
134  10     0.004%
135  3      0.001%
136  13     0.006%
137  15     0.007%
138  3      0.001%
139  13     0.006%
140  7      0.003%
141  3      0.001%
142  16     0.007%
143  7      0.003%
144  4      0.002%
145  7      0.003%
146  10     0.004%
147  2      0.001%
148  3      0.001%
149  7      0.003%
150  3      0.001%
151  14     0.006%
152  7      0.003%
153  9      0.004%
154  11     0.005%
155  11     0.005%
156  5      0.002%
157  17     0.007%
158  5      0.002%
159  5      0.002%
160  36     0.016%
161  8      0.003%
162  3      0.001%
163  13     0.006%
164  30     0.013%
165  6      0.003%
166  10     0.004%
167  3      0.001%
168  3      0.001%
169  5      0.002%
170  6      0.003%
171  2      0.001%
172  3      0.001%
173  7      0.003%
174  7      0.003%
175  7      0.003%
176  10     0.004%
177  3      0.001%
178  6      0.003%
179  7      0.003%
180  5      0.002%
181  6      0.003%
182  7      0.003%
183  4      0.002%
184  6      0.003%
185  3      0.001%
186  4      0.002%
187  5      0.002%
188  7      0.003%
189  7      0.003%
190  4      0.002%
191  11     0.005%
193  3      0.001%
194  3      0.001%
195  9      0.004%
196  5      0.002%
197  9      0.004%
198  3      0.001%
199  7      0.003%
200  8      0.003%
201  2      0.001%
202  5      0.002%
203  5      0.002%
204  2      0.001%
205  3      0.001%
206  6      0.003%
207  1      0.000%
208  3      0.001%
209  4      0.002%
210  3      0.001%
211  4      0.002%
212  4      0.002%
213  6      0.003%
214  1      0.000%
215  2      0.001%
216  1      0.000%
217  4      0.002%
218  2      0.001%
219  3      0.001%
220  9      0.004%
221  5      0.002%
222  3      0.001%
223  5      0.002%
224  3      0.001%
225  1      0.000%
226  2      0.001%
227  3      0.001%
228  1      0.000%
229  7      0.003%
230  3      0.001%
231  1      0.000%
232  2      0.001%
233  4      0.002%
234  2      0.001%
236  4      0.002%
237  3      0.001%
238  4      0.002%
239  4      0.002%
240  3      0.001%
242  3      0.001%
243  1      0.000%
244  2      0.001%
245  4      0.002%
246  2      0.001%
247  4      0.002%
248  6      0.003%
249  3      0.001%
250  4      0.002%
251  4      0.002%
252  4      0.002%
253  2      0.001%
254  6      0.003%
255  5      0.002%
257  1      0.000%
258  3      0.001%
259  5      0.002%
260  4      0.002%
261  4      0.002%
262  4      0.002%
263  3      0.001%
264  4      0.002%
265  1      0.000%
266  1      0.000%
267  7      0.003%
268  10     0.004%
269  2      0.001%
270  5      0.002%
271  5      0.002%
272  3      0.001%
273  6      0.003%
274  4      0.002%
275  3      0.001%
276  9      0.004%
277  5      0.002%
278  9      0.004%
279  2      0.001%
280  12     0.005%
281  9      0.004%
282  5      0.002%
283  4      0.002%
284  5      0.002%
285  9      0.004%
286  7      0.003%
287  3      0.001%
288  9      0.004%
289  9      0.004%
290  7      0.003%
291  16     0.007%
292  16     0.007%
293  19     0.008%
294  11     0.005%
295  13     0.006%
296  12     0.005%
297  14     0.006%
298  29     0.013%
299  29     0.013%
300  14     0.006%
301  30     0.013%
302  23     0.010%
303  19     0.008%
304  13     0.006%
305  21     0.009%
306  19     0.008%
307  20     0.009%
308  16     0.007%
309  19     0.008%
310  13     0.006%
311  16     0.007%
312  10     0.004%
313  9      0.004%
314  6      0.003%
315  10     0.004%
316  7      0.003%
317  12     0.005%
318  4      0.002%
319  5      0.002%
320  6      0.003%
321  2      0.001%
322  3      0.001%
323  2      0.001%
324  5      0.002%
325  6      0.003%
326  7      0.003%
327  6      0.003%
328  3      0.001%
329  4      0.002%
330  2      0.001%
331  4      0.002%
332  2      0.001%
333  5      0.002%
334  1      0.000%
335  5      0.002%
336  3      0.001%
337  1      0.000%
339  2      0.001%
340  2      0.001%
341  3      0.001%
342  1      0.000%
344  1      0.000%
345  3      0.001%
346  1      0.000%
347  1      0.000%
348  1      0.000%
349  1      0.000%
350  1      0.000%
353  1      0.000%
354  1      0.000%
356  1      0.000%
359  1      0.000%
378  1      0.000%
388  1      0.000%
