#Reads: 212021
Min: 1
Max: 128
#Read Length Histogram:
Len  Reads  %Reads
1    4154   1.959%
2    11195  5.280%
3    77720  36.657%
4    7360   3.471%
5    39289  18.531%
6    5148   2.428%
7    2520   1.189%
8    15012  7.080%
9    11151  5.259%
10   7703   3.633%
11   6296   2.970%
12   4359   2.056%
13   3381   1.595%
14   2730   1.288%
15   2725   1.285%
16   1577   0.744%
17   1370   0.646%
18   954    0.450%
19   715    0.337%
20   907    0.428%
21   454    0.214%
22   1696   0.800%
23   1098   0.518%
24   507    0.239%
25   189    0.089%
26   503    0.237%
27   126    0.059%
28   107    0.050%
29   54     0.025%
30   76     0.036%
31   73     0.034%
32   63     0.030%
33   44     0.021%
34   82     0.039%
35   36     0.017%
36   32     0.015%
37   27     0.013%
38   36     0.017%
39   35     0.017%
40   19     0.009%
41   23     0.011%
42   25     0.012%
43   12     0.006%
44   18     0.008%
45   21     0.010%
46   17     0.008%
47   8      0.004%
48   11     0.005%
49   12     0.006%
50   10     0.005%
51   19     0.009%
52   14     0.007%
53   15     0.007%
54   19     0.009%
55   13     0.006%
56   8      0.004%
57   16     0.008%
58   11     0.005%
59   7      0.003%
60   7      0.003%
61   8      0.004%
62   5      0.002%
63   7      0.003%
64   6      0.003%
65   6      0.003%
66   6      0.003%
67   5      0.002%
68   5      0.002%
69   4      0.002%
70   8      0.004%
71   9      0.004%
72   3      0.001%
73   9      0.004%
74   2      0.001%
75   5      0.002%
76   3      0.001%
77   3      0.001%
78   5      0.002%
80   1      0.000%
81   5      0.002%
82   3      0.001%
83   2      0.001%
84   5      0.002%
85   21     0.010%
86   5      0.002%
87   2      0.001%
88   2      0.001%
89   4      0.002%
90   2      0.001%
91   1      0.000%
92   3      0.001%
93   2      0.001%
94   3      0.001%
95   3      0.001%
96   6      0.003%
97   4      0.002%
98   2      0.001%
99   3      0.001%
100  4      0.002%
101  7      0.003%
102  6      0.003%
103  5      0.002%
104  1      0.000%
105  1      0.000%
106  1      0.000%
107  2      0.001%
108  1      0.000%
110  1      0.000%
111  1      0.000%
114  1      0.000%
115  1      0.000%
118  1      0.000%
128  1      0.000%
