#Reads: 715091
Min: 1
Max: 145
#Read Length Histogram:
Len  Reads  %Reads
1    12045   1.684%
2    42706   5.972%
3    193324  27.035%
4    37086   5.186%
5    248343  34.729%
6    17130   2.395%
7    8055    1.126%
8    48205   6.741%
9    30051   4.202%
10   18232   2.550%
11   12732   1.780%
12   8110    1.134%
13   5389    0.754%
14   3835    0.536%
15   3161    0.442%
16   2674    0.374%
17   2249    0.315%
18   1596    0.223%
19   1604    0.224%
20   1261    0.176%
21   1298    0.182%
22   1394    0.195%
23   1950    0.273%
24   1637    0.229%
25   1006    0.141%
26   873     0.122%
27   634     0.089%
28   682     0.095%
29   644     0.090%
30   706     0.099%
31   586     0.082%
32   638     0.089%
33   407     0.057%
34   456     0.064%
35   413     0.058%
36   348     0.049%
37   310     0.043%
38   271     0.038%
39   233     0.033%
40   246     0.034%
41   237     0.033%
42   225     0.031%
43   223     0.031%
44   260     0.036%
45   249     0.035%
46   154     0.022%
47   97      0.014%
48   80      0.011%
49   80      0.011%
50   96      0.013%
51   100     0.014%
52   53      0.007%
53   62      0.009%
54   66      0.009%
55   51      0.007%
56   34      0.005%
57   29      0.004%
58   25      0.003%
59   37      0.005%
60   34      0.005%
61   20      0.003%
62   24      0.003%
63   24      0.003%
64   27      0.004%
65   23      0.003%
66   16      0.002%
67   19      0.003%
68   10      0.001%
69   8       0.001%
70   5       0.001%
71   9       0.001%
72   7       0.001%
73   9       0.001%
74   9       0.001%
75   2       0.000%
76   6       0.001%
77   6       0.001%
79   5       0.001%
80   7       0.001%
81   3       0.000%
82   2       0.000%
83   4       0.001%
84   4       0.001%
85   2       0.000%
86   7       0.001%
87   5       0.001%
88   3       0.000%
89   4       0.001%
90   3       0.000%
91   5       0.001%
92   7       0.001%
93   5       0.001%
94   5       0.001%
95   1       0.000%
96   9       0.001%
97   4       0.001%
98   6       0.001%
99   10      0.001%
100  7       0.001%
101  8       0.001%
102  11      0.002%
103  4       0.001%
104  7       0.001%
105  5       0.001%
106  1       0.000%
108  4       0.001%
110  2       0.000%
112  3       0.000%
118  1       0.000%
145  1       0.000%
