#Reads: 606409
Min: 3
Max: 382
#Read Length Histogram:
Len  Reads  %Reads
3    895     0.148%
4    105     0.017%
5    3460    0.571%
6    184     0.030%
7    669     0.110%
8    20413   3.366%
9    70825   11.679%
10   2306    0.380%
11   89582   14.773%
12   10639   1.754%
13   726     0.120%
14   4018    0.663%
15   6227    1.027%
16   202767  33.437%
17   12769   2.106%
18   5355    0.883%
19   4151    0.685%
20   5941    0.980%
21   1301    0.215%
22   655     0.108%
23   1880    0.310%
24   20981   3.460%
25   13589   2.241%
26   3425    0.565%
27   3048    0.503%
28   24542   4.047%
29   4325    0.713%
30   2014    0.332%
31   11335   1.869%
32   3409    0.562%
33   1580    0.261%
34   7555    1.246%
35   4294    0.708%
36   2172    0.358%
37   5221    0.861%
38   3383    0.558%
39   852     0.140%
40   5391    0.889%
41   2157    0.356%
42   670     0.110%
43   2684    0.443%
44   1801    0.297%
45   543     0.090%
46   2216    0.365%
47   1831    0.302%
48   467     0.077%
49   1609    0.265%
50   1067    0.176%
51   813     0.134%
52   1121    0.185%
53   1093    0.180%
54   347     0.057%
55   1040    0.172%
56   767     0.126%
57   596     0.098%
58   646     0.107%
59   857     0.141%
60   287     0.047%
61   487     0.080%
62   586     0.097%
63   313     0.052%
64   359     0.059%
65   593     0.098%
66   371     0.061%
67   2337    0.385%
68   645     0.106%
69   340     0.056%
70   584     0.096%
71   1564    0.258%
72   532     0.088%
73   426     0.070%
74   620     0.102%
75   311     0.051%
76   152     0.025%
77   271     0.045%
78   375     0.062%
79   259     0.043%
80   894     0.147%
81   205     0.034%
82   87      0.014%
83   190     0.031%
84   189     0.031%
85   49      0.008%
86   230     0.038%
87   194     0.032%
88   83      0.014%
89   261     0.043%
90   303     0.050%
91   92      0.015%
92   228     0.038%
93   155     0.026%
94   85      0.014%
95   294     0.048%
96   364     0.060%
97   83      0.014%
98   195     0.032%
99   133     0.022%
100  101     0.017%
101  133     0.022%
102  160     0.026%
103  88      0.015%
104  173     0.029%
105  144     0.024%
106  54      0.009%
107  133     0.022%
108  99      0.016%
109  57      0.009%
110  124     0.020%
111  95      0.016%
112  63      0.010%
113  85      0.014%
114  79      0.013%
115  46      0.008%
116  99      0.016%
117  76      0.013%
118  36      0.006%
119  84      0.014%
120  73      0.012%
121  43      0.007%
122  79      0.013%
123  58      0.010%
124  50      0.008%
125  64      0.011%
126  53      0.009%
127  30      0.005%
128  57      0.009%
129  63      0.010%
130  40      0.007%
131  82      0.014%
132  77      0.013%
133  46      0.008%
134  108     0.018%
135  80      0.013%
136  44      0.007%
137  72      0.012%
138  48      0.008%
139  42      0.007%
140  46      0.008%
141  26      0.004%
142  45      0.007%
143  31      0.005%
144  25      0.004%
145  37      0.006%
146  22      0.004%
147  20      0.003%
148  22      0.004%
149  21      0.003%
150  23      0.004%
151  21      0.003%
152  36      0.006%
153  24      0.004%
154  20      0.003%
155  22      0.004%
156  16      0.003%
157  19      0.003%
158  15      0.002%
159  14      0.002%
160  19      0.003%
161  17      0.003%
162  15      0.002%
163  21      0.003%
164  20      0.003%
165  16      0.003%
166  22      0.004%
167  12      0.002%
168  10      0.002%
169  21      0.003%
170  15      0.002%
171  14      0.002%
172  17      0.003%
173  13      0.002%
174  9       0.001%
175  19      0.003%
176  9       0.001%
177  5       0.001%
178  12      0.002%
179  11      0.002%
180  10      0.002%
181  16      0.003%
182  8       0.001%
183  16      0.003%
184  10      0.002%
185  8       0.001%
186  8       0.001%
187  2       0.000%
188  8       0.001%
