#Reads: 753487
Min: 1
Max: 122
#Read Length Histogram:
Len  Reads  %Reads
1    11964   1.588%
2    41302   5.481%
3    194383  25.798%
4    39281   5.213%
5    268069  35.577%
6    19901   2.641%
7    8523    1.131%
8    52975   7.031%
9    37985   5.041%
10   19236   2.553%
11   13675   1.815%
12   9005    1.195%
13   5706    0.757%
14   3991    0.530%
15   3530    0.468%
16   2425    0.322%
17   2199    0.292%
18   1404    0.186%
19   1472    0.195%
20   1104    0.147%
21   1128    0.150%
22   1595    0.212%
23   1654    0.220%
24   1232    0.164%
25   694     0.092%
26   874     0.116%
27   480     0.064%
28   579     0.077%
29   551     0.073%
30   657     0.087%
31   527     0.070%
32   626     0.083%
33   427     0.057%
34   419     0.056%
35   371     0.049%
36   285     0.038%
37   284     0.038%
38   266     0.035%
39   237     0.031%
40   232     0.031%
41   185     0.025%
42   197     0.026%
43   208     0.028%
44   227     0.030%
45   177     0.023%
46   113     0.015%
47   99      0.013%
48   79      0.010%
49   70      0.009%
50   87      0.012%
51   78      0.010%
52   50      0.007%
53   46      0.006%
54   49      0.007%
55   41      0.005%
56   36      0.005%
57   39      0.005%
58   31      0.004%
59   31      0.004%
60   28      0.004%
61   28      0.004%
62   26      0.003%
63   14      0.002%
64   13      0.002%
65   19      0.003%
66   23      0.003%
67   14      0.002%
68   7       0.001%
69   13      0.002%
70   6       0.001%
71   11      0.001%
72   7       0.001%
73   10      0.001%
74   10      0.001%
75   13      0.002%
76   3       0.000%
77   4       0.001%
78   5       0.001%
79   5       0.001%
80   8       0.001%
81   5       0.001%
82   8       0.001%
83   4       0.001%
84   2       0.000%
85   10      0.001%
86   7       0.001%
87   5       0.001%
88   5       0.001%
89   2       0.000%
90   4       0.001%
91   2       0.000%
92   2       0.000%
93   3       0.000%
94   2       0.000%
95   5       0.001%
96   2       0.000%
97   8       0.001%
98   5       0.001%
99   5       0.001%
100  8       0.001%
101  6       0.001%
102  7       0.001%
103  3       0.000%
104  10      0.001%
105  2       0.000%
106  3       0.000%
109  1       0.000%
120  1       0.000%
122  2       0.000%
