#Reads: 762416
Min: 3
Max: 378
#Read Length Histogram:
Len  Reads  %Reads
3    798     0.105%
4    132     0.017%
5    4298    0.564%
6    215     0.028%
7    899     0.118%
8    26832   3.519%
9    98103   12.867%
10   2636    0.346%
11   99044   12.991%
12   14627   1.919%
13   901     0.118%
14   5022    0.659%
15   8094    1.062%
16   263010  34.497%
17   12969   1.701%
18   7643    1.002%
19   6154    0.807%
20   6153    0.807%
21   1908    0.250%
22   908     0.119%
23   2075    0.272%
24   30380   3.985%
25   19841   2.602%
26   3067    0.402%
27   3846    0.504%
28   32024   4.200%
29   3201    0.420%
30   2870    0.376%
31   15950   2.092%
32   2621    0.344%
33   2391    0.314%
34   11478   1.505%
35   3214    0.422%
36   2457    0.322%
37   7822    1.026%
38   2052    0.269%
39   1175    0.154%
40   7178    0.941%
41   1428    0.187%
42   881     0.116%
43   4087    0.536%
44   1260    0.165%
45   728     0.095%
46   3188    0.418%
47   1556    0.204%
48   633     0.083%
49   2406    0.316%
50   921     0.121%
51   877     0.115%
52   1693    0.222%
53   857     0.112%
54   424     0.056%
55   1463    0.192%
56   667     0.087%
57   602     0.079%
58   918     0.120%
59   637     0.084%
60   353     0.046%
61   681     0.089%
62   548     0.072%
63   400     0.052%
64   498     0.065%
65   601     0.079%
66   413     0.054%
67   966     0.127%
68   704     0.092%
69   461     0.060%
70   824     0.108%
71   1079    0.142%
72   658     0.086%
73   481     0.063%
74   535     0.070%
75   363     0.048%
76   220     0.029%
77   285     0.037%
78   464     0.061%
79   290     0.038%
80   381     0.050%
81   245     0.032%
82   109     0.014%
83   206     0.027%
84   258     0.034%
85   69      0.009%
86   286     0.038%
87   255     0.033%
88   106     0.014%
89   286     0.038%
90   333     0.044%
91   151     0.020%
92   301     0.039%
93   200     0.026%
94   124     0.016%
95   297     0.039%
96   398     0.052%
97   110     0.014%
98   213     0.028%
99   200     0.026%
100  144     0.019%
101  214     0.028%
102  218     0.029%
103  146     0.019%
104  184     0.024%
105  185     0.024%
106  99      0.013%
107  192     0.025%
108  161     0.021%
109  93      0.012%
110  116     0.015%
111  134     0.018%
112  99      0.013%
113  154     0.020%
114  133     0.017%
115  83      0.011%
116  127     0.017%
117  132     0.017%
118  74      0.010%
119  95      0.012%
120  108     0.014%
121  79      0.010%
122  134     0.018%
123  98      0.013%
124  67      0.009%
125  89      0.012%
126  92      0.012%
127  81      0.011%
128  93      0.012%
129  86      0.011%
130  73      0.010%
131  118     0.015%
132  115     0.015%
133  104     0.014%
134  110     0.014%
135  114     0.015%
136  84      0.011%
137  63      0.008%
138  72      0.009%
139  86      0.011%
140  53      0.007%
141  59      0.008%
142  68      0.009%
143  38      0.005%
144  37      0.005%
145  58      0.008%
146  38      0.005%
147  35      0.005%
148  40      0.005%
149  46      0.006%
150  41      0.005%
151  53      0.007%
152  53      0.007%
153  48      0.006%
154  41      0.005%
155  37      0.005%
156  21      0.003%
157  43      0.006%
158  32      0.004%
159  23      0.003%
160  43      0.006%
161  30      0.004%
162  30      0.004%
163  42      0.006%
164  24      0.003%
165  16      0.002%
166  32      0.004%
167  24      0.003%
168  21      0.003%
169  47      0.006%
170  14      0.002%
171  22      0.003%
172  35      0.005%
173  18      0.002%
174  20      0.003%
175  28      0.004%
176  18      0.002%
177  16      0.002%
178  24      0.003%
179  17      0.002%
180  18      0.002%
181  33      0.004%
182  17      0.002%
183  15      0.002%
184  31      0.004%
185  13      0.002%
186  10      0.001%
187  17      0.002%
188  16      0.002%
189  8       0.001%
190  25      0.003%
191  10      0.001%
192  7       0.001%
193  27      0.004%
194  9       0.001%
195  10      0.001%
196  18      0.002%
197  12      0.002%
198  17      0.002%
199  21      0.003%
200  9       0.001%
201  10      0.001%
202  11      0.001%
203  11      0.001%
204  7       0.001%
205  9       0.001%
206  4       0.001%
207  7       0.001%
208  13      0.002%
209  10      0.001%
210  6       0.001%
211  8       0.001%
212  5       0.001%
213  8       0.001%
214  9       0.001%
215  8       0.001%
216  7       0.001%
217  9       0.001%
218  5       0.001%
219  11      0.001%
220  5       0.001%
221  5       0.001%
222  4       0.001%
223  6       0.001%
224  6       0.001%
225  10      0.001%
226  7       0.001%
227  6       0.001%
228  6       0.001%
229  8       0.001%
230  11      0.001%
231  5       0.001%
232  1       0.000%
233  5       0.001%
234  8       0.001%
235  6       0.001%
236  5       0.001%
237  3       0.000%
238  4       0.001%
239  5       0.001%
240  3       0.000%
241  6       0.001%
242  3       0.000%
243  3       0.000%
244  9       0.001%
245  5       0.001%
246  4       0.001%
247  5       0.001%
248  5       0.001%
249  5       0.001%
250  7       0.001%
251  5       0.001%
252  6       0.001%
253  3       0.000%
254  7       0.001%
255  6       0.001%
256  9       0.001%
257  14      0.002%
258  4       0.001%
259  10      0.001%
260  7       0.001%
261  9       0.001%
262  5       0.001%
263  6       0.001%
264  8       0.001%
265  4       0.001%
266  6       0.001%
267  8       0.001%
268  4       0.001%
269  9       0.001%
270  9       0.001%
271  7       0.001%
272  5       0.001%
273  5       0.001%
274  2       0.000%
275  6       0.001%
276  8       0.001%
277  13      0.002%
278  7       0.001%
279  12      0.002%
280  5       0.001%
281  12      0.002%
282  12      0.002%
283  6       0.001%
284  8       0.001%
285  13      0.002%
286  9       0.001%
287  17      0.002%
288  10      0.001%
289  13      0.002%
290  12      0.002%
291  15      0.002%
292  21      0.003%
293  18      0.002%
294  20      0.003%
295  21      0.003%
296  23      0.003%
297  31      0.004%
298  28      0.004%
299  32      0.004%
300  23      0.003%
301  36      0.005%
302  41      0.005%
303  34      0.004%
304  38      0.005%
305  33      0.004%
306  30      0.004%
307  25      0.003%
308  28      0.004%
309  29      0.004%
310  28      0.004%
311  22      0.003%
312  19      0.002%
313  15      0.002%
314  23      0.003%
315  17      0.002%
316  15      0.002%
317  13      0.002%
318  15      0.002%
319  10      0.001%
320  8       0.001%
321  6       0.001%
322  9       0.001%
323  6       0.001%
324  8       0.001%
325  6       0.001%
326  6       0.001%
327  4       0.001%
328  5       0.001%
329  3       0.000%
330  4       0.001%
332  4       0.001%
333  5       0.001%
334  3       0.000%
335  5       0.001%
336  2       0.000%
337  5       0.001%
338  1       0.000%
339  2       0.000%
340  7       0.001%
341  1       0.000%
343  1       0.000%
344  1       0.000%
345  3       0.000%
346  1       0.000%
347  1       0.000%
348  1       0.000%
350  2       0.000%
351  1       0.000%
354  1       0.000%
360  1       0.000%
362  2       0.000%
363  1       0.000%
366  2       0.000%
369  1       0.000%
378  1       0.000%
