#Reads: 444416
Min: 1
Max: 123
#Read Length Histogram:
Len  Reads  %Reads
1    11900   2.678%
2    20616   4.639%
3    138617  31.191%
4    16752   3.769%
5    100062  22.515%
6    10329   2.324%
7    5177    1.165%
8    28670   6.451%
9    26148   5.884%
10   23824   5.361%
11   11266   2.535%
12   8876    1.997%
13   5620    1.265%
14   5740    1.292%
15   4801    1.080%
16   3171    0.714%
17   2967    0.668%
18   2239    0.504%
19   1739    0.391%
20   1538    0.346%
21   1218    0.274%
22   4219    0.949%
23   3009    0.677%
24   965     0.217%
25   425     0.096%
26   1326    0.298%
27   223     0.050%
28   215     0.048%
29   167     0.038%
30   154     0.035%
31   169     0.038%
32   190     0.043%
33   132     0.030%
34   141     0.032%
35   116     0.026%
36   78      0.018%
37   75      0.017%
38   87      0.020%
39   71      0.016%
40   41      0.009%
41   69      0.016%
42   54      0.012%
43   51      0.011%
44   79      0.018%
45   73      0.016%
46   35      0.008%
47   42      0.009%
48   35      0.008%
49   29      0.007%
50   34      0.008%
51   28      0.006%
52   37      0.008%
53   24      0.005%
54   24      0.005%
55   26      0.006%
56   18      0.004%
57   16      0.004%
58   25      0.006%
59   24      0.005%
60   14      0.003%
61   18      0.004%
62   15      0.003%
63   20      0.005%
64   10      0.002%
65   19      0.004%
66   12      0.003%
67   13      0.003%
68   14      0.003%
69   15      0.003%
70   7       0.002%
71   8       0.002%
72   9       0.002%
73   8       0.002%
74   13      0.003%
75   11      0.002%
76   6       0.001%
77   12      0.003%
78   16      0.004%
79   5       0.001%
80   15      0.003%
81   15      0.003%
82   10      0.002%
83   5       0.001%
84   14      0.003%
85   51      0.011%
86   13      0.003%
87   18      0.004%
88   17      0.004%
89   5       0.001%
90   7       0.002%
91   13      0.003%
92   10      0.002%
93   16      0.004%
94   6       0.001%
95   11      0.002%
96   15      0.003%
97   13      0.003%
98   13      0.003%
99   19      0.004%
100  15      0.003%
101  26      0.006%
102  15      0.003%
103  15      0.003%
105  4       0.001%
107  5       0.001%
108  2       0.000%
111  2       0.000%
112  1       0.000%
113  2       0.000%
115  1       0.000%
123  1       0.000%
